USER_ID,ITEM_ID,TIMESTAMP,EVENT_TYPE
1,1,964982703,watch
1,3,964981247,watch
1,6,964982224,watch
1,47,964983815,watch
1,50,964982931,watch
1,101,964980868,watch
1,110,964982176,watch
1,151,964984041,watch
1,157,964984100,watch
1,163,964983650,watch
1,216,964981208,watch
1,231,964981179,watch
1,235,964980908,watch
1,260,964981680,watch
1,333,964981179,watch
1,349,964982563,watch
1,356,964980962,watch
1,362,964982588,watch
1,367,964981710,watch
1,441,964980868,watch
1,457,964981909,watch
1,480,964982346,watch
1,527,964984002,watch
1,543,964981179,watch
1,552,964982653,watch
1,553,964984153,watch
1,590,964982546,watch
1,592,964982271,watch
1,593,964983793,watch
1,596,964982838,watch
1,608,964982931,watch
1,661,964982838,watch
1,733,964982400,watch
1,804,964980499,watch
1,919,964982475,watch
1,923,964981529,watch
1,940,964982176,watch
1,943,964983614,watch
1,954,964983219,watch
1,1023,964982681,watch
1,1024,964982876,watch
1,1025,964982791,watch
1,1029,964982855,watch
1,1031,964982653,watch
1,1032,964982791,watch
1,1042,964981179,watch
1,1049,964982400,watch
1,1060,964980924,watch
1,1073,964981680,watch
1,1080,964981327,watch
1,1089,964982951,watch
1,1090,964984018,watch
1,1092,964983484,watch
1,1097,964981680,watch
1,1127,964982513,watch
1,1136,964981327,watch
1,1196,964981827,watch
1,1197,964981872,watch
1,1198,964981827,watch
1,1206,964983737,watch
1,1208,964983250,watch
1,1210,964980499,watch
1,1213,964982951,watch
1,1214,964981855,watch
1,1220,964981909,watch
1,1222,964981909,watch
1,1224,964984018,watch
1,1226,964983618,watch
1,1240,964983723,watch
1,1256,964981442,watch
1,1265,964983599,watch
1,1270,964983705,watch
1,1275,964982290,watch
1,1278,964983414,watch
1,1282,964982703,watch
1,1291,964981909,watch
1,1298,964984086,watch
1,1348,964983393,watch
1,1473,964980875,watch
1,1500,964980985,watch
1,1517,964981107,watch
1,1552,964982620,watch
1,1573,964982290,watch
1,1587,964982346,watch
1,1617,964982951,watch
1,1620,964983056,watch
1,1625,964983504,watch
1,1732,964981125,watch
1,1777,964981230,watch
1,1793,964981404,watch
1,1804,964983034,watch
1,1805,964983056,watch
1,1920,964981780,watch
1,1927,964981497,watch
1,1954,964982176,watch
1,1967,964981710,watch
1,2000,964982211,watch
1,2005,964981710,watch
1,2012,964984176,watch
1,2018,964980523,watch
1,2028,964981888,watch
1,2033,964982903,watch
1,2046,964982563,watch
1,2048,964982791,watch
1,2054,964981747,watch
1,2058,964982400,watch
1,2078,964982838,watch
1,2090,964982838,watch
1,2094,964982653,watch
1,2096,964982838,watch
1,2099,964982588,watch
1,2105,964981725,watch
1,2115,964982529,watch
1,2116,964982876,watch
1,2137,964982791,watch
1,2139,964982791,watch
1,2141,964982838,watch
1,2143,964981725,watch
1,2161,964981710,watch
1,2174,964981680,watch
1,2193,964981710,watch
1,2268,964982989,watch
1,2273,964982310,watch
1,2291,964983664,watch
1,2329,964983263,watch
1,2353,964983861,watch
1,2366,964982462,watch
1,2387,964983123,watch
1,2395,964981093,watch
1,2406,964982310,watch
1,2427,964982242,watch
1,2450,964982620,watch
1,2459,964983414,watch
1,2470,964982588,watch
1,2478,964984169,watch
1,2492,965719662,watch
1,2502,964981278,watch
1,2529,964982242,watch
1,2542,964981265,watch
1,2571,964981888,watch
1,2580,964983000,watch
1,2596,964981144,watch
1,2616,964983080,watch
1,2628,964980523,watch
1,2640,964982377,watch
1,2641,964982620,watch
1,2644,964983393,watch
1,2648,964983414,watch
1,2654,964983393,watch
1,2692,964981855,watch
1,2700,964980985,watch
1,2716,964983414,watch
1,2761,964982703,watch
1,2797,964981710,watch
1,2826,964980523,watch
1,2858,964980868,watch
1,2872,964981680,watch
1,2899,964982703,watch
1,2916,964982290,watch
1,2944,964981872,watch
1,2947,964982176,watch
1,2948,964982191,watch
1,2949,964981888,watch
1,2959,964983282,watch
1,2985,964983034,watch
1,2987,964982495,watch
1,2991,964982271,watch
1,2993,964982242,watch
1,2997,964980896,watch
1,3033,964983762,watch
1,3034,964982791,watch
1,3052,964981208,watch
1,3053,964984086,watch
1,3062,964981872,watch
1,3147,964983873,watch
1,3168,964982495,watch
1,3253,964981107,watch
1,3273,964983536,watch
1,3386,964983484,watch
1,3439,964981799,watch
1,3440,964981799,watch
1,3441,964982328,watch
1,3448,964984054,watch
1,3450,964981144,watch
1,3479,964981725,watch
1,3489,964981775,watch
1,3527,964982271,watch
1,3578,964980668,watch
1,3617,964980683,watch
1,3639,964982271,watch
1,3671,964981589,watch
1,3702,964983737,watch
1,3703,964981909,watch
1,3729,964982363,watch
1,3740,964982417,watch
1,3744,964980694,watch
1,3793,964981855,watch
1,3809,964981220,watch
1,4006,964982903,watch
1,5060,964984002,watch
2,333,1445715029,watch
2,1704,1445715228,watch
2,3578,1445714885,watch
2,6874,1445714952,watch
2,8798,1445714960,watch
2,46970,1445715013,watch
2,48516,1445715064,watch
2,58559,1445715141,watch
2,60756,1445714980,watch
2,68157,1445715154,watch
2,74458,1445714926,watch
2,79132,1445714841,watch
2,80489,1445715340,watch
2,80906,1445715172,watch
2,86345,1445715166,watch
2,89774,1445715189,watch
2,91529,1445714891,watch
2,99114,1445714874,watch
2,106782,1445714966,watch
2,112552,1445714882,watch
2,115713,1445714854,watch
2,122882,1445715272,watch
2,131724,1445714851,watch
3,849,1306463611,watch
3,1275,1306463323,watch
3,1587,1306464003,watch
3,2288,1306463631,watch
3,2851,1306463925,watch
3,3024,1306464054,watch
3,3703,1306463603,watch
3,4518,1306463770,watch
3,5181,1306463718,watch
3,5746,1306463708,watch
3,5764,1306464021,watch
3,5919,1306463825,watch
3,6835,1306463670,watch
3,7899,1306464036,watch
3,7991,1306463684,watch
3,26409,1306463993,watch
3,70946,1306463815,watch
4,106,986848784,watch
4,125,964622758,watch
4,162,945078571,watch
4,176,964622565,watch
4,215,945079078,watch
4,232,964622684,watch
4,260,945079259,watch
4,265,964538468,watch
4,319,945079182,watch
4,342,964538500,watch
4,345,945629063,watch
4,348,964622786,watch
4,368,945078690,watch
4,457,945079259,watch
4,475,945174290,watch
4,492,945079872,watch
4,538,945078636,watch
4,588,945079670,watch
4,593,964539986,watch
4,608,964540008,watch
4,708,986935230,watch
4,800,945079106,watch
4,892,964622714,watch
4,898,964623347,watch
4,899,945079653,watch
4,902,945078446,watch
4,904,945079837,watch
4,908,945173902,watch
4,910,945173989,watch
4,912,945173902,watch
