ITEM_ID,GENRES,YEAR,CREATION_TIMESTAMP
1,Adventure|Animation|Children|Comedy|Fantasy,1995,1641013200
2,Adventure|Children|Fantasy,1995,1641013200
3,Comedy|Romance,1995,1641013200
4,Comedy|Drama|Romance,1995,1641013200
5,Comedy,1995,1641013200
6,Action|Crime|Thriller,1995,1641013200
7,Comedy|Romance,1995,1641013200
8,Adventure|Children,1995,1641013200
9,Action,1995,1641013200
10,Action|Adventure|Thriller,1995,1641013200
11,Comedy|Drama|Romance,1995,1641013200
12,Comedy|Horror,1995,1641013200
13,Adventure|Animation|Children,1995,1641013200
14,Drama,1995,1641013200
15,Action|Adventure|Romance,1995,1641013200
16,Crime|Drama,1995,1641013200
17,Drama|Romance,1995,1641013200
18,Comedy,1995,1641013200
19,Comedy,1995,1641013200
20,Action|Comedy|Crime|Drama|Thriller,1995,1641013200
21,Comedy|Crime|Thriller,1995,1641013200
22,Crime|Drama|Horror|Mystery|Thriller,1995,1641013200
23,Action|Crime|Thriller,1995,1641013200
24,Drama|Sci-Fi,1995,1641013200
25,Drama|Romance,1995,1641013200
26,Drama,1995,1641013200
27,Children|Drama,1995,1641013200
28,Drama|Romance,1995,1641013200
29,Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,1641013200
30,Crime|Drama,1995,1641013200
31,Drama,1995,1641013200
32,Mystery|Sci-Fi|Thriller,1995,1641013200
34,Children|Drama,1995,1641013200
36,Crime|Drama,1995,1641013200
38,Children|Comedy,1995,1641013200
39,Comedy|Romance,1995,1641013200
40,Drama,1995,1641013200
41,Drama|War,1995,1641013200
42,Action|Crime|Drama,1995,1641013200
43,Drama,1995,1641013200
44,Action|Adventure|Fantasy,1995,1641013200
45,Comedy|Drama|Thriller,1995,1641013200
46,Drama|Romance,1995,1641013200
47,Mystery|Thriller,1995,1641013200
48,Animation|Children|Drama|Musical|Romance,1995,1641013200
49,Drama|Romance,1995,1641013200
50,Crime|Mystery|Thriller,1995,1641013200
52,Comedy|Drama|Romance,1995,1641013200
53,Adventure|Drama,1994,1641013200
54,Children|Comedy,1995,1641013200
55,Drama,1995,1641013200
57,Drama,1995,1641013200
58,Comedy|Drama|Romance,1994,1641013200
60,Adventure|Children|Fantasy,1995,1641013200
61,Drama|Thriller,1996,1641013200
62,Drama,1995,1641013200
63,Comedy|Crime,1996,1641013200
64,Comedy|Romance,1996,1641013200
65,Comedy,1996,1641013200
66,Action|Sci-Fi|Thriller,1996,1641013200
68,Comedy|Romance,1995,1641013200
69,Comedy,1995,1641013200
70,Action|Comedy|Horror|Thriller,1996,1641013200
71,Action,1995,1641013200
72,Comedy|Drama,1995,1641013200
73,Drama|War,1995,1641013200
74,Drama|Romance,1996,1641013200
75,Comedy|Drama,1996,1641013200
76,Action|Sci-Fi|Thriller,1995,1641013200
77,Documentary,1995,1641013200
78,Action|Crime|Drama|Thriller,1995,1641013200
79,Drama|Thriller,1996,1641013200
80,Children|Drama,1995,1641013200
81,Crime|Drama|Romance,1995,1641013200
82,Comedy|Drama,1995,1641013200
83,Drama|Romance,1995,1641013200
85,Drama|Romance,1995,1641013200
86,Action|Adventure|Drama,1996,1641013200
87,Children|Comedy,1996,1641013200
88,Comedy,1996,1641013200
89,Action|Thriller,1995,1641013200
92,Drama|Horror|Thriller,1996,1641013200
93,Comedy|Horror|Romance,1995,1641013200
94,Comedy|Drama|Romance,1996,1641013200
95,Action|Adventure|Thriller,1996,1641013200
96,Comedy|Drama,1995,1641013200
97,Crime|Drama,1995,1641013200
99,Documentary,1995,1641013200
100,Drama|Thriller,1996,1641013200
101,Adventure|Comedy|Crime|Romance,1996,1641013200
102,Comedy,1996,1641013200
103,Mystery|Sci-Fi|Thriller,1996,1641013200
104,Comedy,1996,1641013200
105,Drama|Romance,1995,1641013200
106,Comedy|Drama,1994,1641013200
107,Adventure|Children|Comedy|Musical,1996,1641013200
108,Documentary,1996,1641013200
110,Action|Drama|War,1995,1641013200
111,Crime|Drama|Thriller,1976,1641013200
112,Action|Adventure|Comedy|Crime,1995,1641013200
113,Drama|Mystery,1996,1641013200
116,Documentary,1995,1641013200
117,Crime|Drama,1995,1641013200
118,Comedy|Romance,1996,1641013200
119,Comedy,1995,1641013200
121,Drama,1992,1641013200
122,Comedy|Romance,1992,1641013200
123,Drama|Mystery|Romance,1994,1641013200
125,Comedy,1996,1641013200
126,Adventure|Children|Fantasy,1994,1641013200
128,Documentary,1994,1641013200
129,Comedy|Romance,1996,1641013200
132,Thriller,1995,1641013200
135,Comedy,1996,1641013200
137,Documentary,1995,1641013200
140,Drama|Romance,1996,1641013200
141,Comedy,1996,1641013200
144,Comedy,1995,1641013200
145,Action|Comedy|Crime|Drama|Thriller,1995,1641013200
146,Adventure|Children,1995,1641013200
147,Drama,1995,1641013200
148,Drama,1995,1641013200
149,Crime|Drama|Thriller,1994,1641013200
150,Adventure|Drama|IMAX,1995,1641013200
151,Action|Drama|Romance|War,1995,1641013200
152,Drama|Horror,1995,1641013200
153,Action|Adventure|Comedy|Crime,1995,1641013200
154,Drama,1967,1641013200
155,Adventure|Drama|War,1995,1641013200
156,Comedy|Drama,1995,1641013200
157,Comedy|War,1995,1641013200
158,Adventure|Children,1995,1641013200
159,Crime|Drama|Mystery,1995,1641013200
160,Action|Adventure|Mystery|Sci-Fi,1995,1641013200
161,Drama|Thriller|War,1995,1641013200
162,Documentary,1994,1641013200
163,Action|Romance|Western,1995,1641013200
164,Crime|Film-Noir|Mystery|Thriller,1995,1641013200
165,Action|Crime|Thriller,1995,1641013200
166,Comedy|Crime|Drama,1995,1641013200
168,Action|Drama|Romance,1995,1641013200
169,Adventure|Children|Drama,1995,1641013200
170,Action|Adventure|Crime|Thriller,1995,1641013200
171,Comedy|Drama,1995,1641013200
172,Action|Sci-Fi|Thriller,1995,1641013200
173,Action|Crime|Sci-Fi,1995,1641013200
174,Comedy,1995,1641013200
175,Drama,1995,1641013200
176,Comedy,1995,1641013200
177,Horror,1995,1641013200
178,Comedy|Drama,1993,1641013200
179,Drama|Romance,1995,1641013200
180,Comedy|Romance,1995,1641013200
181,Action|Children,1995,1641013200
183,Comedy|Horror|Thriller,1994,1641013200
184,Drama,1994,1641013200
185,Action|Crime|Thriller,1995,1641013200
186,Comedy|Romance,1995,1641013200
187,Comedy,1995,1641013200
188,Fantasy|Horror|Mystery,1995,1641013200
189,Comedy|Fantasy,1995,1641013200
190,Thriller,1995,1641013200
191,Drama|Romance,1995,1641013200
193,Drama,1995,1641013200
194,Comedy|Drama,1995,1641013200
195,Comedy|Drama|Romance,1995,1641013200
196,Horror|Sci-Fi,1995,1641013200
198,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995,1641013200
199,Drama|Musical|Romance,1964,1641013200
201,Drama|Fantasy,1995,1641013200
202,Drama|Romance,1995,1641013200
203,Comedy,1995,1641013200
204,Action,1995,1641013200
205,Comedy|Drama,1995,1641013200
206,Documentary,1995,1641013200
207,Drama|Romance,1995,1641013200
208,Action|Adventure|Sci-Fi,1995,1641013200
209,Drama,1995,1641013200
210,Western,1995,1641013200
211,Drama,1994,1641013200
212,Adventure|Comedy|Crime|Mystery,1995,1641013200
213,Drama,1994,1641013200
214,Drama|War,1994,1641013200
215,Drama|Romance,1995,1641013200
216,Comedy,1995,1641013200
217,Drama|Thriller,1995,1641013200
218,Comedy|Drama,1995,1641013200
219,Drama,1995,1641013200
220,Horror,1995,1641013200
222,Drama|Romance,1995,1641013200
223,Comedy,1994,1641013200
224,Comedy|Drama|Romance,1995,1641013200
225,Drama|Thriller,1994,1641013200
227,Action|Thriller,1994,1641013200
228,Comedy,1995,1641013200
229,Drama|Thriller,1994,1641013200
230,Drama|Thriller,1995,1641013200
231,Adventure|Comedy,1994,1641013200
232,Comedy|Drama|Romance,1994,1641013200
233,Drama,1994,1641013200
234,Comedy,1994,1641013200
235,Comedy|Drama,1994,1641013200
236,Action|Comedy|Romance,1995,1641013200
237,Comedy|Romance,1995,1641013200
